"Rtalias"	"``"	"From"	"F_F"	"F_L"	"To"	"T_F"	"T_L"	"AM"	"NOON"	"PM"	"Schedule"	"Primary"			
"0330"	33	"Worli Depot"	13.54	18.04	"Goregaon Stn(W)"	12.14	16.24				"Saturday"	3			
"0330"	33	"Pt. Paluskar Chowk"	7.40	22.45	"Goregaon Stn(W)"	6.20	21.00	15	12	13	"Sun-Hol"	4			
"0350"	35	"Com.P.K.Kurne Chowk"	7.00	22.35	"Marol Maroshi Bus Station"	5.50	20.45	19	20	16	"Mon-Sat"	2			
"0350"	35	"Veer Kotwal Udyan"	6.57	22.45	"Marol Maroshi Bus Station"	6.02	21.25				"Mon-Sat"	2			
"0350"	35	"Com.P.K.Kurne Chowk"	7.10	21.35	"Marol Maroshi Bus Station"	6.05	20.00	23	19	21	"Sunday"	4			
"0350"	35	"Veer Kotwal Udyan"	21.38	22.00	"Marol Maroshi Bus Station"	20.25	20.50				"Sunday"	4			
"0350"	35	"Com.P.K.Kurne Chowk"	7.10	21.35	"Marol Maroshi Bus Station"	6.05	20.00	20	22	23	"Holiday"	4			
"0350"	35	"Veer Kotwal Udyan"	21.38	22.00	"Marol Maroshi Bus Station"	20.25	20.50				"Holiday"	4			
"0370"	37	"J.Mehta Marg"	6.50	23.00	"Kurla Station(W)"	5.45	22.10	12	21	22	"Mon-Fri"	2			
"0370"	37	"J.Mehta Marg"	23.17	23.35	"Kala Nagar"						"Mon-Fri"	2			
"0370"	37	"N.S.C.I."	10.16	23.05	"Kurla Stn(W)"	9.06	21.55				"Mon-Fri"	2			
"0370"	37	"Kurla Stn(W)"	5.30	22.10	"J.Mehta Marg"	6.30	22.50	24	26	26	"Saturday"	3			
"0370"	37	"Kurla Stn(W)"	9.05	21.55	"N.S.C.I.(Worli)"	10.15	23.05				"Saturday"	3			
"0370"	37	"Kurla Stn(W)"	6.00	22.10	"J.Mehta Marg"	7.00	22.50	11	12	16	"Sun-Hol"	4			
"0370"	37	"Kalanagar"			"J.Mehta Marg"	23.00	23.30				"Sun-Hol"	4			
"0380"	38	"Jijamata Udyan"	7.40	22.25	"Goregaon Depot"	6.20	20.35	29	32	28	"Mon-Sat"	2			
"0380"	38	"Jijamata Udyan"	8.10	22.00	"Goregaon Depot"	7.05	20.20	25	28	28	"Sunday"	4			
"0380"	38	"Jijamata Udyan"	8.15	22.00	"Goregaon Depot"	7.00	20.10	28	35	35	"Holiday"	4			
"0390"	39	"Com P.K.Kurne Chk."	6.25	22.40	"SEEPZ Bus Station"	5.25	21.05	23	28	27	"Mon-Sat"	2			
"0390"	39	"Com P.K.Kurne Chk."	6.45	21.35	"SEEPZ Bus Station"	5.45	20.05	24	25	26	"Sunday"	4			
"0390"	39	"Com P.K.Kurne Chk."	6.45	21.40	"SEEPZ Bus Station"	5.45	20.10	24	24	23	"Holiday"	4			
"0401"	"40Ltd"	"P.Thakre Udyan"	8.32	23.05	"Dindoshi Bus Stn."	10.40	21.40	14	16	15	"Mon-Sat-Hol"	2			
"0401"	"40Ltd"	"P.Thakre Udyan"	6.15	8.05	"Kandivli Stn(E)"	7.30	9.45				"Mon-Sat-Hol"	2			
"0401"	"40Ltd"	"P.Thakre Udyan"	6.05	8.15	"Borivli Stn(E)"	5.35	10.00				"Mon-Sat-Hol"	2			
