RouteNo	BusesAM	BusesNoon	BusesPM	RouteType	Depot	FromStop	FirstFrom	LastFrom	ToStop	FirstTo	LastTo	RouteSpan	Runtime7to11	Runtime11to17	Runtime17toEnd	RuntimeNight	HeadwayUpto7	Headway7to11	Headway11to17	Headway17to20	Headway20toLast	ReliefPoint	TravelTime	Schedule
	8	8	9	SD	SD	Dr.S.P.Mukherji Chowk	8.30	11.57	J.V.P.D.Bus Station	7.10	10.22	26.2	 	90	95		20	20	24	22	 ----	J.V.P.D.Bus Station	20	SH
						Dr.S.P.Mukherji Chowk	15.07	20.05	J.V.P.D.Bus Station	13.32	18.25	26.2												
						Chh.Shivaji Terminus	12.20	14.43	J.V.P.D.Bus Station	10.45	13.08	23.7												
						Pt. Paluskar Chowk	7.40	8.10	J.V.P.D.Bus Station	6.30	6.50	20.9												
						Pt. Paluskar Chowk	20.30	21.30	J.V.P.D.Bus Station	18.47	19.55	20.9												
30Ltd	6	6	6	SD	CND	Central Depot	5.45	23.00	Vikhroli Depot	6.35	24.15	20.1	50	90	95	 	18	20	27	27	29	Central Depot	 ---	MF&HOL
	7	6	7	SD	CND	Central Depot	5.45	23.00	Vikhroli Depot	6.35	24.15	20.1	45	90	95		19	27	32	28		Central Depot		SAT&SUN
32R	8	6	8	SD	GGD	Goregaon Bus Stn.	6.30	22.00	Yari Road Bus Station	7.13	22.53	20.7	85	100	110	125	15	18	18	17	17	Goregaon Bus Stn(W)	15	MS
	5	4	5	SD	GGD	Goregaon Bus Stn.	6.30	20.30	Yari Road Bus Station	7.20	21.30	20.7	85	100	110		21	27	29	23		Goregaon Bus Stn(W)	15	SH
33	17	17	17	SD	GGD	Pt. Paluskar Chowk	7.30	23.05	Goregaon Stn(W)	6.20	21.10	29.1	80	110	120		13	14	15	13	14	Goregaon Bus Station(W)	15	MF
						Worli Depot	13.34	17.40	Goregaon Stn(W)	11.54	16.04	22.3												
	17	16	17	SD	GGD	Pt. Paluskar Chowk	7.30	23.05	Goregaon Stn(W)	6.20	21.10	29.1	80	110	120		11	14	15	17	20	Goregaon Bus Station(W)	15	SAT
						Worli Depot	13.54	18.04	Goregaon Stn(W)	12.14	16.24	22.3												
	15	19	19	SD	GGD	Pt. Paluskar Chowk	7.40	22.45	Goregaon Stn(W)	6.20	21.00	29.1	75	110	115	 	12	15	12	13	15	Goregaon Bus Station(W)	15	SH
