RouteNo	BusesAM	BusesNoon	BusesPM	RouteType	Depot	FromStop	FirstFrom	LastFrom	ToStop	FirstTo	LastTo	RouteSpan	Runtime7to11	Runtime11to17	Runtime17toEnd	RuntimeNight	HeadwayUpto7	Headway7to11	Headway11to17	Headway17to20	Headway20toLast	ReliefPoint	TravelTime	Schedule
						Refineries	20.59	23.00	Kurla Station(E)	20.19	22.35	6.2												
	3	2	3	SD	ANK	TATA Power Station	7.37	19.58	Kurla Station(E)	7.00	19.12	7.4	35	37			 --	24	37	26	20	Kurla Station(E)	20	SH
						Refineries	20.20	22.47	Kurla Station(E)	19.43	22.20	7.4												
433	3	3	3	SD	KLD	Vidyavihar Bus Station	6.10	23.10	Santaruz Stn(E)	6.00	22.25	7.0	30	45	55		20	32	31	38	38	Vidyavihar Bus Stn	50	FW
434	8	5	8	SD	MLD	Agarkar Chowk	5.45	22.30	Bamandaya Pada	5.50	22.15	6.4	23	30	39	42	16	13	10	18	11	Bamandaya Pada	30	MS
	4	4	5	SD	MLD	Agarkar Chowk	5.55	22.30	Bamandaya Pada	5.55	22.00	6.4	23	25	30		14	14	16	13	12	Bamandaya Pada	30	SUN
	5	4	5	SD	MLD	Agarkar Chowk	5.55	22.30	Bamandaya Pada	5.55	22.00		23	25	30		14	17	17	15	10	Bamandaya Pada	30	HOL
435R	2	2	2	SD	MLD	Agarkar Chowk	7.15	21.30	Om Nagar(Andheri-E)	7.15	21.47	7.4	18	21	25		 	4	29	29	29	Agarkar Chowk	20	MS
	2	2	2	SD	MLD	Agarkar Chowk	7.45	21.30	Om Nagar(Andheri-E)	8.00	21.50	7.4	16	 	22			19	12	16	16	Agarkar Chowk	20	HOL
436R	3	0	3	SD	DIN	Goregaon Stn (E)	6.50	12.34	Infinity IT Park (NNP)	6.30	12.54	8.6	38	42			16	13	 	15	13	Goregaon Stn (E)	20	MS
	3	0	3	SD	DIN	Goregaon Stn (E)	17.00	22.00	Infinity IT Park (NNP)	17.21	21.37	8.6												
438	6	5	6	SD	DIN	Dindoshi Bus Station	5.25	21.40	Dahisar Bus Station	6.00	22.30	11.8	32	40	48	52	17	17	20	18	18	Dindoshi Bus Station	 --	MS
	5	4	5	SD	DIN	Dindoshi Bus Station	5.25	21.30	Dahisar Bus Station	6.00	22.15	11.8	32	40	48	52	21	21	26	22	22	Dindoshi Bus Station	 --	SH
440Ltd	11	11	12	SD	WD	Wadala Depot	6.00	20.30	Ellora Borivli Stn (E)	7.00	22.05	 	70	 	90	105	11	14	18	15	15	Wadala Depot	 ---	MS
	12	13	16	SD	WD	Wadala Depot	5.50	20.30	Ellora Borivli Stn (E)	7.00	22.05	28.8	70	85	95	100	10	12	13	17	13	Wadala Depot	 ---	SUN
	12	11	14	SD	WD	Wadala Depot	5.50	20.30	Ellora Borivli Stn (E)	7.00	22.05	28.8	70	95	100	 	14	15	17	18	 	Wadala Depot		HOL
441	5	4	4	SD	MJS	Agarkar Chowk	5.30	23.45	Majas Depot 	5.05	23.20	6.0	30	33	 		21	13	16	11	13	Majas Depot 	 ---	MS
	3	2	3	SD	MJS	Agarkar Chowk	5.30	23.30	Majas Depot 	5.05	23.04	6.0	 	28	30		20	19	29	21	21	Majas Depot	 ---	SH
442	4	4	4	SD	MJS	MHADA Colony	5.45	22.30	Sadbhakti Mandir	6.05	23.00	4.9	45	48	55	58	9	11	14	12	13	Sadbhakti Mandir	25	MS
	4	3	4	SD	MJS	MHADA Colony	5.45	22.22	Sadbhakti Mandir	6.05	22.55	4.9	22	21	24		15	9	12	10	12	Sadbhakti Mandir	20	SH
443R	4	4	4	SD	MLD	Agarkar Chowk	5.55	23.05	Bamandayapada	5.45	22.45	6.4	24	35	46	49	18	14	19	20	18	Bamandaya Pada Rest M.M.Bus Stn.	30	MS
	3	3	3	SD	MLD	Agarkar Chowk	6.15	23.05	Bamandayapada	5.50	22.40	6.4	 	 	25	30	20	19	21	21	22	Bamandaya Pada Rest M.M.Bus Stn.	30	SH
444Ltd	7	7	7	SD	GGD	Goregaon Depot	6.30	22.00	Ghatkopar Bus Station	7.45	23.35	16.9	70	90	100	105	25	35	30	32	32	Goregaon Depot	 ---	MS
	6	7	7	SD	GGD	Goregaon Depot	6.30	22.00	Ghatkopar Bus Station	7.45	23.20	16.9	70	85			25	30	25	30	33	Goregaon Depot	 ---	SH
446	5	4	5	SD	KLD	Kurla Station(W)	6.35	21.15	Bamandayapada	6.35	22.05	8.2	32	45	50	70	11	16	21	24	26	Kurla Stn.(W)	35	MS&HOL
	3	3	3	SD	KLD	Kurla Station(W)	6.45	21.15	Bamandayapada	6.55	22.00	8.2	32	40	43		25	29	31	32	25	Kurla Stn.(W)	35	SUN
448Ltd	18	15	18	SD	PR	Prateeksha Nagar Depot 	6.10	20.00	Borivli Station(E)	7.10	21.50	29.5	65	100	105		8	11	13	12	13	Prateeksha Nagar Depot 	 ---	MS
	14	9	14	SD	PR	Prateeksha Nagar Depot 	6.10	20.00	Borivli Station(E)	7.20	21.50	29.5	65	100	105	 	12	15	23	15	16	Prateeksha Nagar Depot 	 ---	SH
449Ltd	8	8	8	SD	DH	Dharavi Depot	5.50	20.10	Kandivli Stn(E)	7.15	20.40	26.1	80	90	110		22	26	29	28	29	Dharavi Depot 	 ---	FW
451	5	4	5	MD	DIN	Goregaon Bus Station(E)	5.50	0.35	Adarsh Nagar	5.30	0.09	5.0	19	24	25		8	10	12	10	10	Goregaon Bus Station(E)	20	MS
	4	4	4	MD	DIN	Goregaon Bus Station(E)	5.50	0.40	Adarsh Nagar	5.30	0.15	5.0	19	21			10	10	10	13	13	Goregaon Bus Station(E)	20	SH
452	7	5	7	SD	DIN	Goregaon Bus Station(E)	5.45	1.00	Mayur Nagar	5.30	0.42	4.8	13	22	17	27	10	6	9	9	9	Goregaon Bus Station(E)	20	MS
	5	4	5	SD	DIN	Goregaon Bus Station(E)	5.45	1.00	Mayur Nagar	5.30	0.42	4.8	16	17	27		9	11	9	11	11	Goregaon Bus Station(E)	20	SH
453Ltd	10	8	10	SD	WD	Wadala Depot	5.10	20.35	Lokmanya Nagar(Thane)	6.40	22.20	33.1	 	90	110		20	22	28	22	25	Wadala Depot	 ---	FW
454	6	6	6	SD	GGD	Shivshahi Prakalp	6.30	19.55	Seven Bungalow	7.30	21.15	13.7	60	75	 		19	21	26	26	28	Seven Bungalows	20	FW
						Shivshahi Prakalp	20.21	22.00	Goregaon Depot	5.50	7.25													
456	5	0	5	SD	MLV	Malvani Depot	6.00	12.00	Shivshahi Prakalp Mansi Park	7.00	13.03	11.6	55	60	65		21	21	22	22	24	Malvani Depot 	 ---	MS&HOL
						Malvani Depot	15.25	20.50	Shivshahi Prakalp Mansi Park	16.30	20.55	11.6	50	55	60		29	25				Malvani Depot 		 
	4	0	5	SD	MLV	Malvani Depot	6.05	12.00	Shivshahi Prakalp Mansi Park	17.00	12.58	11.6	50	55	60		29	29	29	25	27	Malvani Depot 	 ---	SUN
						Malvani Depot	15.52	20.40	Shivshahi Prakalp Mansi Park	16.50	21.30	11.6												
459Ltd	18	15	18	SD	MLV	Mulund Station(W)	6.40	22.45	Malvani Depot	5.30	21.00	27.4	75	105	110		10	9	15	11	12	Malvani Depot 	 ----	MS
						Mulund Station(W)	7.30	22.25	Malvani Depot	6.10	21.00	27.4	75	105	110		14	15	15	15	15	Malvani Depot 	 ---	SUN
	16	12	16	SD	MLV	Mulund Station(W)	7.30	22.45	Malvani Depot	6.10	21.00	27.4	75	105	110		10	11	18	15	20	Malvani Depot 	 ---	HOL
460Ltd	15	14	15	SD	GRD	Mulund Station(W)	5.55	23.00	Gorai Depot	4.35	21.10	34.3	80	105	110		18	17	16	17	15	Gorai Depot 	 ---	MS
	17	17	23	SD	GRD	Mulund Station(W)	6.30	23.30	Gorai Depot	5.00	21.40	34.3	105	110			15	13	10	10	11	Gorai Depot 	 ---	S/H
461Ltd	16	14	16	SD	GRD	Mulund Bus Station(W)	6.00	19.16	P.Thakre Nagar Bus Station	4.40	21.35	32.2	75	120	125		11	15	19	15	16	P.Thakre Nagar Bus Stn	10	MS
						Mulund Bus Station(W)	19.32	23.15	Gorai Depot			30.7												
	20	21	25	SD	GRD	Mulund Bus Station(W)	6.00	20.25	P.Thakre Nagar Bus Station	4.45	22.05	32.2	70	105			13	10	9	9	11	P.Thakre Nagar Bus Stn	10	SH
						Mulund Bus Station(W)	20.32	23.45	Gorai Depot			30.7												
462	5	4	5	SD	MGT	Vaishali Nagar(Dahisar)	5.45	0.30	Borivli Station(E)	5.25	0.10	4.0	46	50			10	10	13	11	11	Borivli Station(E)	15	MS
	4	4	4	SD	MGT	Vaishali Nagar(Dahisar)	5.46	0.30	Borivli Station(E)	5.25	0.10	4.0	23	25			12	12	13	13	16	Borivli Station(E)	15	SH
463	6	6	6	SD	WLD	Worli Depot	6.55	20.30	Chembur Colony	6.25	21.50	17.0	50	80	85		28	28	26	30	28	Worli Depot	 ---	MS
	5	5	5	SD	WLD	Worli Depot	6.00	20.20	Chembur Colony	6.55	21.30	17.0	50	70	73		28	30	30	32	 	Worli Depot	 ---	SH
464Ltd	9	8	9	SD	GRD	Marol Depot	7.35	21.30	P.Thakre Nagar Bus Stn.	6.40	20.15	20.7	50	75			19	17	20	17		P.Thakre Nagar Bus Stn	10	MS
469Ltd	9	6	9	SD	OSH	Goregaon Depot	6.00	19.00	Mulund Bus Stn (W)	7.35	20.50	25.4	100	105			22	23	25	25	25	Oshiwara Depot	 --	FW
470Ltd	10	10	10	SD	GKD	Ghatkopar Bus Stn	5.15	23.00	Borivli Station(E)	6.30	0.35	23.6	90	105	110		17	20	25	24	27	Ghatkopar Bus Stn	 ---	FW
473	6	0	6	SD	BND	Bandra Bus Station(W)	5.50	21.15	Mahul Village	6.45	22.35	14.1	50	80	85	 	28	 	 	30	30	Bandra Bus Station(W)	 --	FW
477	3	2	3	SD	MGT	Borivli Stn(E)	6.00	0.10	Rushivan	5.45	0.21	2.6	15	18			9	9	9	10	16	Borivli Stn(E)	15	FW
478Ltd	12	10	12	SD	VKD	Vikhroli Depot	5.10	22.50	Borivli Station(E)	6.30	24.15	26.0	70	80	100	 	16	20	24	28	25	Vikhroli Depot	 ---	FW
481	3	2	3	SD	GKD	Ghatkopar Rly.Stn.(E)	6.20	20.50	M.M.R.D.A.Vashi Naka	7.00	21.35	7.5	40	45				24	50	25	24	Ghatkopar Depot		FW
484Ltd	4	4	4	SD	MUL	MHADA Colony	6.00	21.25	Pawar Nagar Bus Station	6.35	22.25	14.4	 	55	60		30	33	32	32	32	MHADA Bus Station	25	MS&HOL
	4	4	4	SD	MUL	MHADA Colony	6.05	21.25	Pawar Nagar Bus Station	6.35	22.20	14.4	50	55			28	30	 	30	28	MHADA Bus Station	25	SUN
488Ltd	15	12	15	SD	SHD	Shivaji Nagar Bus Station	5.25	22.10	Dindoshi Bus Station	6.40	23.45	23.2	70	100	110		14	13	18	15	15	Shivaji Nagar Bus Station	 ---	MS
	13	12	13	SD	SHD	Shivaji Nagar Bus Station	5.30	22.10	Dindoshi Bus Station	6.45	23.30	23.2	70	100	105		17	16	16	17	17	Shivaji Nagar Bus Station	 ---	SH
489Ltd	20	16	20	SD	SHD	Shivaji Nagar Bus Station	5.20	22.00	Dahisar Bridge	6.45	23.45	37.1	80	120	135	 	10	12	15	15	20	Shivaji Nagar Bus Station	 ---	MS
	16	17	17	SD	SHD	Shivaji Nagar Bus Station	5.20	22.00	Dahisar Bridge	6.50	23.45	37.1	80	100	105		25	13	12	13	20	Shivaji Nagar Bus Station	 ---	SH
491Ltd	7	6	7	SD	MJS	Majas Depot 	5.15	7.50	Bhramand/ Azad Nagar (Thane)	20.19	21.50	32.2	95	100	 		28	30	32	35	38	SEEPZ Bus Station	20	FH
						Seepz Bus Station	8.05	20.05	Bhramand/ Azad Nagar (Thane)	6.30	19.50	35.0										 	 	
	5	5	5	SD	MJS	Majas Depot 	5.15	7.40	Bhramand/ Azad Nagar (Thane)	20.37	22.00	32.2	95	100			40	42	43	45	47	SEEPZ Bus Station	20	SUN
						Seepz Bus Station	8.05	20.15	Bhramand/ Azad Nagar (Thane)	6.30	19.55	35.0												
492Ltd	8	8	8	SD	MJS	Seepz Bus Station	8.10	10.00	Waghbill(Thane)	7.00	11.40	27.8		85	90	95		20	23	23	23	SEEPZ Bus Station	20	FW
						Seepz Bus Station	15.50	20.15		17.30	20.05													
						Majas Depot 	5.50	7.47	Waghbill(Thane)	20.28	21.50	29.2		85										
						Seepz Bus Station	10.23	15.38	Cadbury Junction	11.53	17.30													
493Ltd	6	5	6	SD	DNR	Anushakti Nagar	6.50	20.05	Dadalani Park Thane	7.00	20.15	27.6	80	85	90		26	28	32	32		Anushakti Nagar	10	FW
						Deonar Depot	5.45	6.32	Dadalani Park Thane	20.45	21.40	27.6	 	 										
494Ltd	5	5	5	SD	VKD	Vikhroli Depot	5.10	21.25	RetiBundar Kharigaon (Thane)	6.30	22.45	20.8	75	85	90	 	36	38	38	38	38	Vikhroli Depot	----	MS
	5	5	5	SD	VKD	Vikhroli Depot	5.50	21.25	RetiBundar Kharigaon (Thane)	7.10	22.45	20.8	75	85	90		36	36	38	38	38	Vikhroli Depot	 ---	SH
495	2	2	2	SD	MUL	FireBrigade Mulund (E)	6.20	21.05	Thane Stn.(E)	6.45	21.30	5	28	30	 	27	27	29	31	33	35	Gawanpada Mulund Stn(E)	20	FW
496Ltd	20	13	20	SD	MJ	Marathon Chowk(Thane)	6.09	22.55	Agarkar Chowk	6.00	23.05	19.4	60	85	70	105	8	10	15	11	11	SEEPZ Bus Station	20	MS
	10	11	14	SD	MJ	Marathon Chowk(Thane)	6.10	22.50	Agarkar Chowk	6.20	23.05	19.4	60	65	80		17	17	18	16	16	SEEPZ Bus Station	20	SUN
 	15	17	17	SD	MJ	Marathon Chowk(Thane)	6.10	22.50	Agarkar Chowk	6.20	23.05	19.4	75	81	86	96	22	11	12	12	12	SEEPZ Bus Station	20	HOL
497Ltd	7	6	7	SD	GKD	Ghatkopar Bus Stn	4.55	22.00	Lokmanya Nagar(Thane)	5.55	23.10	17.9	50	60	65		17	17	22	21	25	Ghatkopar Bus Stn	 --	FW
						 	17.23	21.05	Lokmanya Nagar(Thane)	16.50	20.32	16.1											 	
498Ltd	8	8	8	SD	MGT	Borivli Stn(E)	6.35	22.15	Sangharsh Nagar	6.00	23.35	20.4	78	83	  	 	19	19	22	20	19	Magathane Depot	 ---	FW
499Ltd	8	6	8	SD	GKD	Ghatkopar Bus Stn	5.25	21.55	Vrindavan Society(Thane)	6.15	23.00	17.0	60	75	80		18	20	25	21	23	Ghatkopar Bus Station	 ---	FW
500Ltd	6	6	6	SD	VKD	Vikhroli Depot	5.40	21.15	Airoli Bus Station	6.30	22.25	14.1	50	60	65		19	20	25	22	27	Vikhroli Depot	 ---	FW
501Ltd	12	10	12	SD	ANK	Kurla Station(E)	4.20	0.15	Airoli Bus Station	5.35	23.54		70	88	96		14	15	18	16	20	Kurla Station(E)/Anik Depot	20	MS
						Umarshi Bappa Chowk			Airoli Bus Station	0.09	1.25													
	15	15	15	SD	ANK	Kurla Station(E)	4.20	0.15	Airoli Bus Station	5.35	23.45	27.5	70	75	88		14	10	12	12	12	Kurla Station(E)/Anik Depot	20	SH
						Umarshi Bappa Chowk			Airoli Bus Station	23.58	1.25	26.0												
502Ltd	12	10	12	SD	WD	Wadala Depot	5.00	22.30	Nerul Sector-46/48	6.15	24.00	34.1	70	100	110		19	17	21	19	19	Wadala Depot	 --	MS
	10	12	12	SD	WD	Wadala Depot	5.00	22.00	Nerul Sector-46/48	6.18	23.30	34.1	70	100	110		17	17	21	17	19	Wadala Depot	 --	SH
						Shivaji Nagar Junction	4.55	5.25	Nerul Sector-46/48															FW
						Rani Laxmi Chowk			Nerul Sector-46/48	5.30	6.00													
503Ltd	8	8	8	SD	PRD	Rani Laxmi Chowk	6.20	21.30	Kalamboli	5.00	23.05	36.6	70	80	95	100	21	23	25	26	26	Rani Laxmibai Chowk	20	FW
504Ltd	14	12	14	SD	WD	Wadala Depot	5.10	21.45	Jal Vayu Vihar/Kharghar	6.25	23.20	31.5	83	105	110	 	14	15	15	15	15	Wadala Depot 	 ---	MS
	12	13	15	SD	WD	Wadala Depot	5.10	21.45	Jal Vayu Vihar/Kharghar	6.25	23.20	31.5	83	105	110			16	18	16	18	Wadala Depot	 --	SH
505Ltd	16	16	16	SD	BND	Bandra Bus Station(W)	4.20	0.05	C.B.D.Belapur Bus Station	5.30	1.20	31.5	60	90	100	110	12	13	14	18	14	Bandra Bus Station(W)	 ---	MS
	6	0	6	SD	BND																			
	16	19	25	SD	BND	Bandra Bus Station(W)	4.20	24.00	C.B.D.Belapur Bus Station	5.30	1.15	31.5	60	80	85	90	11	10	8	8	20	Bandra Bus Station(W)	 ---	SH
506Ltd	11	11	11	SD	DNR	Deonar Depot	3.40	5.38	Nerul Bus Station	21.53	1.49	18.5	63	110	115	135	17	21	22	23	22	Deonar Depot 	 ---	MS
						Deonar Depot	6.06	7.24	Nerul Railway Station			19.6												
						Jijamata Udyan	5.15	19.17	Nerul Railway Station	6.30	17.10	34.7												
						Jijamata Udyan	 	21.55	Nerul Bus Station	4.15	6.15	33.6												
						Wadala Depot	22.10	0.40	Nerul Bus Station	20.40	24.00	29.2												
	12	12	12	SD	DNR	Jijamata Udyan	5.20		Nerul Bus Station	5.35	6.28	33.6	68	80	95	105	20	17	18	20	17	Deonar Depot 	 ----	SH
						Deonar Depot	3.35	5.50	Nerul Bus Station	23.59	1.47	18.5												
						Deonar Depot	6.17	8.35	Nerul Railway Station			19.6												
						Jijamata Udyan	 	19.30	Nerul Railway Station	 	20.10	34.7												
						Jijamata Udyan	19.45	21.35	Nerul Bus Station			33.6												
						Wadala Depot			Nerul Railway Station	20.20	21.13	30.3												
						Wadala Depot	22.10	0.40	Nerul Bus Station	20.27	23.35	29.2												
506Ext				SD	DNR	Jijamata Udyan			Kopar Khairane Extn	4.00		29.1											 ---	FW
507Ltd	12	11	12	SD	KLD	Santacruz Station(E)	5.30	23.05	Nerul Bus Station	5.10	23.05	30.7	77	95	100		25	17	18	17	15	Santacruz Station(E)	25	MS
						Kurla Depot	4.05	5.49	Nerul Bus Station	23.20	0.40	27.9												
	13	13	15	SD	KLD	Santacruz Station(E)	5.35	23.30	Nerul Bus Station	6.00	23.05	30.7	60	95	100		20	16	15	14	15	Santacruz Station(E)	25	SH
						Kurla Depot	4.40	5.17	Nerul Bus Station	23.22	0.50	29.9												
508Ltd	5	5	5	SD	SHD	Dr.Ambedkar Udyan	6.50	20.35	Nerul Sector-46/48	6.50	21.25	25.8	80	90				30	36	24		Dr.Ambedkar Udyan	30	FW
						Shivaji Nagar Junction	6.10	6.52	Nerul Sector-46/48		22.00													
509Ltd	6	5	6	SD	PRD	Antop Hill	6.15	20.00	Millenium Business Park	7.25	20.12	34.6	90	95			22	27	32	27	27	Antop Hill	20	FW
						Rani Laxmi Chowk			Millenium Business Park	20.39	21.30	30.6												
510Ltd	7	5	7	SD	GKD	Barve Nagar	6.50	18.50	M.I.D.C.Electronic Zone	8.05	20.30	27.8	90	95	88	105	 	28	26	27	30	Barve Nagar	25	MS
						Barve Nagar	19.20	20.20	Kopar Khairane Extn	20.53	21.50	25.0	 	 										
	4	5	6	SD	GKD	Barve Nagar	6.50	20.15	Kopar Khairane Extn.	8.00	21.45		88	90	100			46	37	34	28	Barve Nagar	25	SUN
	4	5	6	SD	GKD	Barve Nagar	6.45	19.00	MIDC Electronic Zone	8.00	20.45	27.8		90	95	105	43	42	39	32	33	Barve Nagar	25	HOL
						Barve Nagar	19.40	20.20	Kopar Khairane Extn	21.15	21.50													
511Ltd	11	10	11	SD	GKD	Ghatkopar Depot	4.05	5.25	Nerul Bus Station	23.30	0.45	23.9	85	102	107		18	29	22	20	24	Ghatkopar Bus Station	 ---	MS
	13	11	13	SD	GKD	Mulund Bus Station(W)	5.00	23.05	Nerul Bus Station	4.45	22.45	36.1					16	19	20	17	20			HOL
						Mulund Bus Station(W)	23.22	0.27	Ghatkopar Depot	4.23	6.45	12.2												
	16	16	16	SD	GKD	Mulund Bus Station(W)	5.00	23.35	Nerul Bus Station	4.45	22.50	36.1	85	102	107		 	13	17	14	22	Ghatkopar Bus Station	 ----	SUN
						Ghatkopar Depot	4.05	5.20	Nerul Bus Station	23.20	0.43	23.9												
						Mulund Bus Station(W)	23.20	0.25	Ghatkopar Depot	4.25	5.40	12.2												
512Ltd	15	13	15	SD	MUL	Mulund Bus Station(W)	4.10	23.00	Nerul Bus Station	5.30	24.00	31.4	75	85	90	105	13	14	17	18	16	Mulund Bus Station(W)	15	FW
						Mulund Bus Station(W)	23.30	24.00	Vashi Bus Station	 	 	 	54				 	 						
						Mulund Rly Station(W)			Vashi Bus Station	0.30	0.50													
513Ltd	10	8	7	SD	MUL	FireBrigade Mulund (E)	5.30	22.20	Vashi Railway Station	6.30	23.20	22.5	53	60	 	66	11	13	16	19	20	Gavanpada(Mulund-E)	20	FW
						FireBrigade Mulund (E)	5.00	24.30	Airoli Bus Station	5.25	25.00	8.1												
	0	0	3	SD	MUL	Gavanpada(Mulund-E)	17.08	24.30	Airoli Bus Station	17.38	25.00													
514Ltd	6	0	6	SD	MUL	Mulund Bus Station	6.55	12.16	L&T Infotech MHAPE	7.40	11.26	17.9	40	45	60	70		 	17	24	20	Mulund Bus Station	15	MS&HOL
						Mulund Bus Station	17.14	21.30	L&T Infotech MHAPE	16.00	22.35	17.9												
515Ltd	TR	IP	S	SD	BND	Bandra Bus Station(W)	17.10	18.25	C.B.D.Belapur Bus Station	8.05	8.30	36.1												MS
						Bandra Bus Station(W)			Vashi Bus Stn	8.10														
517Ltd	11	11	11	SD	KLD	Santacruz Station(E)	5.40	19.55	A.P.M.C.Sector-19	7.00	21.40	28.0	75	95	100		25	17	18	17	15	Santacruz Stn(E)	25	MS
						Santacruz Station(E)	20.15	21.30	Vashi Bus Station	21.45	22.20													
						Kurla Depot	5.20	5.40	Vashi Bus Station	22.38	22.55													
						Santacruz Station(E)			Vashi Bus Station	6.20	6.45													
	9	9	10	SD	KLD	Santacruz Stn(E)	6.05	19.50	A.P.M.C.Sector-19	7.30	21.35	28.0	80	95	100		20	23	23	23	23	Santacruz Stn(E)	25	SH
						Santacruz Stn(E)	20.12	21.35	Vashi Bus Station	21.40	22.20													
						Kurla Depot	5.45	6.05	Vashi Bus Station	20.40	23.00													
						Santacruz Station(E)			Vashi Bus Station	6.50	7.15													
518Ltd	7	6	7	SD	SHD	Shivaji Nagar Depot	5.30	23.25	Ghansoli Village	6.30	24.25	19.1	60	65		 	17	18	20	22	25	Shivaji Nagar Depot	 ---	MS
	6	6	6	SD	SHD	Shivaji Nagar Depot	6.33	23.35	Ghansoli Village	7.30	24.25	19.1	60	 			20	21	24	26	28	Shivaji Nagar Depot	 ---	SH
519Ltd	9	6	9	SD	DNR	Deonar Depot	4.25	24.00	Ghansoli Village	5.00	24.40	17.0	40	50	60		14	17	20	15	13	Deonar Depot	 --	FW
520Ltd	7	7	7	SD	DNR	Deonar Depot	5.25	20.05	Airoli Bus Station	6.25	23.05	23.0	55	60	65		17	19	20	20	20	Deonar Depot 	 ----	FW
521Ltd	18	13	18	SD	DNR	Vasantrao Naik Chowk	6.25	22.00	Kopar Khairane Extn	5.00	22.00	33.4	80	95	105	115	14	18	19	15	15	Deonar Depot 	 ----	MS
						Vasantrao Naik Chowk	22.11	23.30	Deonar Depot			19.0												
						Deonar Depot	3.30	7.11	Kopar Khairane Extn	22.10	23.37	14.4												
						Com.P.K.Kurne Chowk	5.40	 	Kopar Khairane Extn	4.33	 	29.6												
	16	14	18	SD	DNR	Vasantrao Naik Chowk	6.25	22.00	Kopar Khairane Extn	5.00	22.00	33.4	80	100	105	 	18	15	13	22	22	Deonar Depot 	 ----	SH
						Vasantrao Naik Chowk	22.15	23.30	Deonar Depot			19.0												
						Com.P.K.Kurne Chowk	5.40	--	Kopar Khairane Extn	4.35	--	29.6												
						Deonar Depot	4.05	7.06	Kopar Khairane Extn	22.05	23.57	14.4												
522Ltd	10	7	10	SD	MLD	Marol Depot	4.40	21.10	Vashi Rly Stn.	5.50	22.50	30.5	 	90	95	100	17	20	29	26	21	Marol Depot	 --	FW
523Ltd	10	8	10	SD	DIN	Dindoshi Bus Station	5.05	21.00	Millenium Business Park	6.25	22.20	29.5	80	85	90	95	23	21	23	22	20	Dindoshi Bus Station	 ----	MS
						Dindoshi Bus Station	6.10	7.17	Airoli Bus Station	7.30	8.45	24.5												
	11	8	11	SD	DIN	Dindoshi Bus Station	5.05	21.00	Millenium Business Park	6.25	22.20	29.5	80	85	90	95	18	17	2	24	18	Dindoshi Bus Station	 ----	SUN
524Ltd	16	14	16	SD	MGT	Borivli Station(E)	5.00	19.19	A.P.M.C Sector No.19	6.45	21.05	44.0	100	120	140		15	20	25	25	25	Borivli Station(E)	15	FW
						Borivli Station(E)	19.35	20.45	Vashi Bus Station	21.35	22.35	39.9												
525Ltd	10	8	10	SD	DIN	Dindoshi Depot	5.00	19.20	A.P.M.C.Sector-19/Vashi	6.30	21.20	37.1	88	100	105	115	24	27	28	26	25	Dindoshi Bus Station	 ---	MS
						Dindoshi Depot	4.40		Vashi Bus Station	6.00		33.0												
						Dindoshi Depot	19.50	21.35	Vashi Bus Station	21.20	23.00	33.0												
	14	14	16	SD	DIN	Dindoshi Bus Station	5.30	9.25	A.P.M.C.Sector-19/Vashi	7.00	11.05	37.1	95	100			15	15	15	14	13	Dindoshi Bus Station	 ---	SUN
						Dindoshi Bus Station	5.00	 	Vashi Bus Station	6.30	 	33.0												
							9.40	21.35	Vashi Nus Station	11.30	23.00													
	14	14	16	SD	DIN	Dindoshi Bus Station	5.00	19.15	A.P.M.C.Sector-19/Vashi	6.30	21.15	37.1	85	100	105	110	15	16	16	15	15	Dindoshi Bus Station	 ---	HOL
						Dindoshi Bus Station	19.24	21.35	Vashi Bus Station	21.15	23.00	33.0												
526Ltd	TR	IP	S	SD	DNR	Jijamata Udyan			Jal Vayu Vihar/Kharghar	4.30	5.00	39.0										 ----	 ---	FW
						Deonar Depot	0.20		Nerul Bus Station	0.58		23.9												
						Jijamata Udyan			Nerul Bus Station	3.40	5.15	33.9												
						Deonar Depot	1.55		Nerul Bus Station	 		18.8												
533Ltd	11	11	11	SD	GKD	Andheri Station(W)	6.55	20.20	A.P.M.C Sector No.19	6.50	21.30	31.0	80	125	130	140	18	24	25	26	24	Ghatkopar Bus Station	 ---	MS
						Andheri Station(W)	20.41	23.15	Ghatkopar Depot	6.10	7.11	12.1												
						Ghatkopar Depot	6.07	7.30	A.P.M.C Sector No.19	21.51	22.35	18.9												
	8	9	10	SD	GKD	Andheri Station(W)	6.55	20.40	A.P.M.C Sector No.19	6.55	21.30	31.0	85	105	115		22	27	22	24	24	Ghatkopar Bus Station	 ---	SH
						Andheri Station(W)	21.00	22.30	Ghatkopar Depot	6.10	7.13	12.1												
						Ghatkopar Depot	6.12	7.20	A.P.M.C Sector No.19	21.50	22.30	18.9												 
545Ltd	15	12	15	SD	MLD	Agarkar Chowk	6.00	22.20	Airoli Bus Station	6.00	23.35	23.1	85	90	95	 	13	13	13	13	15	Agarkar Chowk	20	MS&HOL
						Marol Depot	5.40	6.55	R.C.F.Colony(Bhandup Stn-E)	 														
						Agarkar Chowk	7.30	8.45	R.C.F.Colony(Bhandup Stn-E)	6.25	9.45													
	10	11	11	SD	MLD	Agarkar Chowk	7.05	22.00	Airoli Bus Station	6.00	23.30	23.1	80	85	 	 		18	17	17	18	Agarkar Chowk	20	SUN
						Marol Depot	5.05	6.40	Airoli Bus Station															
