Route	Route Alias	From	To	Distance	Stages
3402	340EXTRA	BARVE NGR.	AGARKAR CHK.	7.3	9
6194	619RING	SANTACRUZ STN (E)	SANTACRUZ STN (E)	8.3	13
3170	317	BANDRA RLY.TERMINUS	TATA CLY.	4.3	7
4491	449LTD	DHARAVI DEPOT	KANDIVLI BUS STN.( E )	25.6	24
7061	706LTD	MAROL DEPOT	BHAYANDER STN.(E)	25.8	23
4000	400	SAMATA NGR.BUS STN.(KANDIVLI-E)	BORIVLI STN(E)	5.5	8
2130	213	P.THAKRE UDN.BUS STN.	SANTACRUZ STN (E)	15.0	15
3050	305	TARDEO BUS STN/RUSHI MEHTA CHK.	GHATKOPAR BUS STN./GKD	22.9	22
1004	100RING	AHILYABAI HOLKAR CHK.,EROSS CINEMA	AHILYABAI HOLKAR CHK.	3.3	5
2500	250	ANDHERI STN.(W) ( M.A )	GILBERT HILL(PANCHAM SCTY.)	1.6	2
0017	AS-1	BACKBAY DEPOT	CADBURY JN.(THANE)	42.6	37
3710	371	BANDRA BUS STN(W)	ANUSHAKTI NGR.	16.0	16
1114	111RING	CHH. SHIVAJI TERMINUS(BHATIA)	CHH. SHIVAJI TERMINUS(BHATIA)	4.9	7
2830	283	KANDIVLI STN.(W)	SANTOSH NGR.(KANDIVALI-W)	2.0	3
4481	448LTD	PRATIKSHA NGR.DEPOT	BORIVLI STN(E)	29.5	27
2580	258	GOREGAON BUS STN(W)	S.R.A.CLY.EXTN.	2.0	3
2624	262RING	GOREGAON BUS STN(W)	GOREGAON BUS STN(W)	10.6	11
3930	393	GHATKOPAR BUS STN./GKD	AAMCHI SHALA	5.8	7
3860	386	GHATKOPAR STN.(W)	NAGBABA MANDIR (KAILAS COMPLEX)	4.0	6
0412	41EXT	FERRY WHARF	FERRY WHARF	3.5	4
3460	346	GOREGAON STN(E)	SHIVSHAI PRAKALP/MANTRI PARK	5.5	8
2080	208	BORIVLI BUS STN(W)	SARASWATI COMPLEX(DAHISAR)	4.5	7
8041	SPL-12	CHH. SHIVAJI TERMINUS(BHATIA)	FREE PRESS HOUSE	2.9	4
2360	236	ANDHERI BUS STN.(W)	S.R.A.RAM MANDIR/SOMANIGRAM	4.0	6
3350	335	AGARKAR CHK.	SANGHARSH NGR.(CHANDIVLI)	7.5	10
2760	276	KANDIVLI STN.(W)	CHARKOP SECT.NO.8	5.4	8
0510	51	COLABA BUS STN.	SANTACRUZ DEPOT	25.3	29
1560	156	SIMLA HOUSE	BYCULLA STN.(W)	6.4	8
1700	170	ANTOP HILL EXTN.	RANI LAXMIBAI CHK.	3.2	5
3380	338	AGARKAR CHK.	SAHAR CARGO COMPLEX	3.2	4
2901	290LTD	SEEPZ BUS STN.	POISAR DEPOT	18.6	17
3950	395	SANTACRUZ STN (E)	BAMANDAYA PADA	13.3	12
4950	495	GAWANPADA FIRE BRIGADE(MULUND-E)	THANE STN.(E)	5.0	9
2844	284RING	BORIVLI BUS STN(W)	BORIVLI BUS STN(W)	9.1	12
0530	53	WORLI DEPOT	LOKMANYA TILAK TERMINUS	15.9	19
1674	167RING	COM.P.K.KURNE CHK.	COM.P.K.KURNE CHK.	3.5	5
4531	453LTD	WADALA DEPOT	LOKMANYA NGR.(THANE)	33.1	31
4040	404	GHATKOPAR STN.(E)-1	SHIVAJI NGR.DEPOT	4.9	8
1734	173RING	RANI LAXMIBAI CHK.(BUS STN.)	RANI LAXMIBAI CHK.(BUS STN.)	3.9	5
2930	293	BORIVLI STN(E)	JAGERDEV COMPOUND	2.3	4
2231	223LTD	SEVEN BUNGALOWS BUS STN.	SAMATA NGR.BUS STN.(KANDIVLI-E)	18.4	20
1200	120	DAVA BAZAR(KALBADEVI)	PT.PALUSKAR CHK.	2.2	4
2804	280RING	KANDIVLI STN.(W)	KANDIVLI STN.(W)	6.2	9
3780	378	TROMBAY	MANKHURD STN.(SOUTH)	2.9	4
5251	525LTD	DINDOSHI BUS STN.	VASHI SECT.19	37.1	31
7001	700LTD	BORIVLI STN(E)	THANE STN.(E)	29.5	26
3140	314	WADALA DEPOT	SANTACRUZ STN (E)	13.0	14
1740	174	VEER KOTWAL UDN. (PLAZA)	BHARANI NAKA (ANTOP HILL)	5.2	8
4060	406	GHATKOPAR STN.(E)-1	RAILWAY POLICE CLY.(GHATKOPAR	1.5	3
2384	238RING	OSHIWARA DEPOT	OSHIWARA DEPOT	12.4	13
0037	AS-3	NEHRU PLANETARIUM	CADBURY JN.(THANE)	33.6	28
6020	602	KANJUR MARG STN.(W)	HIRANANDANI POWAI BUS STN.	5.2	8
3840	384	BANDRA BUS STN(W)	GHATKOPAR BUS STN./GKD	21.0	21
7007	AS-700	MAGATHANE DEPOT	THANE STN.(E)	31.4	28
0057	AS-5	BKC TEL.EXCHANGE	CADBURY JN.(THANE)	29.4	24
0201	20LTD	DR.SHAMAPRASAD MUKHERJI CHK.	SHIVAJI NGR.DEPOT	26.9	29
