trip_id,start_time,end_time,headway_secs
0221_SH_UP,11:00:00,17:00:00,1680
0221_SH_DOWN,07:15:00,07:00:00,1320
0221_SH_DOWN,07:00:00,11:00:00,1560
0221_SH_DOWN,11:00:00,17:00:00,1680
0221_MS_UP,05:55:00,07:00:00,1140
0221_MS_UP,07:00:00,11:00:00,1800
0221_MS_UP,11:00:00,17:00:00,1800
0221_MS_DOWN,07:10:00,07:00:00,1140
0221_MS_DOWN,07:00:00,11:00:00,1800
0221_MS_DOWN,11:00:00,17:00:00,1800
4160_SH_UP,06:15:00,07:00:00,240
4160_SH_UP,07:00:00,11:00:00,240
4160_SH_UP,11:00:00,17:00:00,360
4160_SH_UP,17:00:00,20:00:00,240
4160_SH_UP,20:00:00,00:20:00,360
4160_SH_DOWN,06:27:00,07:00:00,240
4160_SH_DOWN,07:00:00,11:00:00,240
4160_SH_DOWN,11:00:00,17:00:00,360
4160_SH_DOWN,17:00:00,20:00:00,240
4160_SH_DOWN,20:00:00,00:32:00,360
4160_MS_UP,05:30:00,07:00:00,240
4160_MS_UP,07:00:00,11:00:00,240
4160_MS_UP,11:00:00,17:00:00,300
4160_MS_UP,17:00:00,20:00:00,300
4160_MS_UP,20:00:00,00:25:00,360
4160_MS_DOWN,05:42:00,07:00:00,240
4160_MS_DOWN,07:00:00,11:00:00,240
4160_MS_DOWN,11:00:00,17:00:00,300
4160_MS_DOWN,17:00:00,20:00:00,300
4160_MS_DOWN,20:00:00,00:39:00,360
3690_SH_UP,05:25:00,07:00:00,480
3690_SH_UP,07:00:00,11:00:00,660
3690_SH_UP,11:00:00,17:00:00,900
3690_SH_UP,17:00:00,20:00:00,600
3690_SH_UP,20:00:00,01:00:00,600
3690_SH_DOWN,05:00:00,07:00:00,480
3690_SH_DOWN,07:00:00,11:00:00,660
3690_SH_DOWN,11:00:00,17:00:00,900
3690_SH_DOWN,17:00:00,20:00:00,600
3690_SH_DOWN,20:00:00,00:00:00,600
3690_MS_UP,05:25:00,07:00:00,420
3690_MS_UP,07:00:00,11:00:00,420
3690_MS_UP,11:00:00,17:00:00,660
3690_MS_UP,17:00:00,20:00:00,480
3690_MS_UP,20:00:00,01:00:00,480
3690_MS_DOWN,05:00:00,07:00:00,420
3690_MS_DOWN,07:00:00,11:00:00,420
3690_MS_DOWN,11:00:00,17:00:00,660
3690_MS_DOWN,17:00:00,20:00:00,480
3690_MS_DOWN,20:00:00,00:00:00,480
3690_MS_UP,06:05:00,07:00:00,900
3690_MS_UP,07:00:00,11:00:00,900
3690_MS_UP,11:00:00,17:00:00,900
3690_MS_UP,17:00:00,20:00:00,900
3690_MS_UP,20:00:00,21:00:00,900
3690_MS_DOWN,06:15:00,07:00:00,900
3690_MS_DOWN,07:00:00,11:00:00,900
3690_MS_DOWN,11:00:00,17:00:00,900
3690_MS_DOWN,17:00:00,20:00:00,900
3690_MS_DOWN,20:00:00,21:13:00,900
3600_SH_UP,06:25:00,07:00:00,960
3600_SH_UP,07:00:00,11:00:00,720
3600_SH_UP,11:00:00,17:00:00,1320
3600_SH_UP,17:00:00,20:00:00,960
3600_SH_UP,20:00:00,23:35:00,1080
3600_SH_DOWN,05:50:00,07:00:00,960
3600_SH_DOWN,07:00:00,11:00:00,720
3600_SH_DOWN,11:00:00,17:00:00,1320
3600_SH_DOWN,17:00:00,20:00:00,960
3600_SH_DOWN,20:00:00,22:55:00,1080
3600_MS_UP,06:25:00,07:00:00,960
3600_MS_UP,07:00:00,11:00:00,780
3600_MS_UP,11:00:00,17:00:00,1140
3600_MS_UP,17:00:00,20:00:00,840
3600_MS_UP,20:00:00,23:45:00,900
3600_MS_DOWN,05:50:00,07:00:00,960
3600_MS_DOWN,07:00:00,11:00:00,780
3600_MS_DOWN,11:00:00,17:00:00,1140
3600_MS_DOWN,17:00:00,20:00:00,840
3600_MS_DOWN,20:00:00,23:00:00,900
3551_MS_UP,06:25:00,07:00:00,1020
3551_MS_UP,07:00:00,11:00:00,1080
3551_MS_UP,11:00:00,17:00:00,1200
3551_MS_UP,17:00:00,20:00:00,1320
3551_MS_UP,20:00:00,21:30:00,1500
3551_MS_DOWN,07:25:00,07:00:00,1020
3551_MS_DOWN,07:00:00,11:00:00,1080
3551_MS_DOWN,11:00:00,17:00:00,1200
